pitches	interval_class	rating
59,60	1	1.317
59,61	2	1.837
58,61	3	2.693
58,62	4	3.173
57,62	5	2.95
57,63	6	1.953
56,63	5	3.447
55,63	4	2.477
55,64	3	2.713
54,64	2	1.753
54,65	1	1.753
59,60,61	1,1,2	1.066666667
59,60,62	1,2,3	1.666666667
58,59,62	1,3,4	1.5
58,59,63	1,4,5	2.1
57,58,63	1,5,6	1.8
57,58,64	1,5,6	1.4
57,58,65	1,4,5	1.466666667
56,57,65	1,3,4	1.266666667
56,57,66	1,2,3	1.166666667
55,56,66	1,1,2	1.2
55,56,67	1	1.466666667
58,60,61	1,2,3	1.6
58,60,62	2,2,4	2.6
58,60,63	2,3,5	2.7
57,59,63	2,4,6	2.366666667
57,59,64	2,5,5	2.933333333
56,58,64	2,4,6	1.766666667
56,58,65	2,3,5	1.9
55,57,65	2,2,4	1.8
55,57,66	1,2,3	2.033333333
54,56,66	2	2.2
58,61,62	1,3,4	1.2
57,60,62	2,3,5	2.4
57,60,63	3,3,6	2.366666667
56,59,63	3,4,5	3.4
56,59,64	3,4,5	3.633333333
56,59,65	3,3,6	2.233333333
55,58,65	2,3,5	2.533333333
55,58,66	1,3,4	1.533333333
54,57,66	3	2.8
57,61,62	1,4,5	2.133333333
57,61,63	2,4,6	1.9
56,60,63	3,4,5	3.8
56,60,64	4,4,4	1.933333333
55,59,64	3,4,5	3.033333333
55,59,65	2,4,6	2.433333333
54,58,65	1,4,5	2.6
54,58,66	4	3.533333333
56,61,62	1,5,6	1.366666667
56,61,63	2,5,5	3.133333333
55,60,63	3,4,5	2.8
55,60,64	3,4,5	3.633333333
54,59,64	2,5,5	2.366666667
54,59,65	1,5,6	2.3
54,59,66	5	3.666666667
55,61,62	1,5,6	1.666666667
55,61,63	2,4,6	2.633333333
55,61,64	3,3,6	2.233333333
54,60,64	2,4,6	1.933333333
54,60,65	1,5,6	1.9
53,59,65	6	2.366666667
55,62,63	1,4,5	1.833333333
54,61,63	2,3,5	2.5
54,61,64	2,3,5	2.166666667
53,60,64	1,4,5	2.266666667
53,60,65	5	3.833333333
54,62,63	1,3,4	1.2
53,61,63	2,2,4	1.966666667
53,61,64	1,3,4	1.633333333
53,61,65	4	3.2
53,62,63	1,2,3	1.233333333
53,62,64	1,2,3	1.533333333
52,61,64	3	3.033333333
52,62,63	1,1,2	1.2
52,62,64	2	1.8
52,63,64	1	1.2
58,59,60,61	1,1,1,2,2,3	1.4
58,59,60,62	1,1,2,2,3,4	1.5
58,59,60,63	1,1,2,3,4,5	1.7
58,59,60,64	1,1,2,4,5,6	1.6
57,58,59,64	1,1,2,5,5,6	1.467
57,58,59,65	1,1,2,4,5,6	1.467
57,58,59,66	1,1,2,3,4,5	1.433
56,57,58,66	1,1,2,2,3,4	1.233
56,57,58,67	1,1,1,2,2,3	1.033
55,56,57,67	1,1,2	1.1
58,59,61,62	1,1,2,3,3,4	1.4
58,59,61,63	1,2,2,3,4,5	1.833
57,58,60,63	1,2,3,3,5,6	1.567
57,58,60,64	1,2,3,4,5,6	1.867
57,58,60,65	1,2,3,4,5,5	2
56,57,59,65	1,2,3,3,4,6	1.567
56,57,59,66	1,2,2,3,3,5	1.333
56,57,59,67	1,1,2,2,3,4	1.367
55,56,58,67	1,2,3	1.6
57,58,61,62	1,1,3,4,4,5	1.8
57,58,61,63	1,2,3,4,5,6	1.533
57,58,61,64	1,3,3,4,5,6	1.733
56,57,60,64	1,3,4,4,4,5	1.733
56,57,60,65	1,3,3,4,4,5	1.7
56,57,60,66	1,2,3,3,4,6	1.633
55,56,59,66	1,1,2,3,4,5	1.533
55,56,59,67	1,3,4	1.833
57,58,62,63	1,1,4,5,5,6	1.367
56,57,61,63	1,2,4,5,5,6	2
56,57,61,64	1,3,4,4,5,5	2.133
56,57,61,65	1,3,4,4,4,5	1.7
55,56,60,65	1,2,3,4,5,5	2.033
55,56,60,66	1,1,2,4,5,6	1.767
55,56,60,67	1,4,5	2.3
56,57,62,63	1,1,5,5,6,6	1.4
56,57,62,64	1,2,4,5,5,6	1.7
56,57,62,65	1,3,3,4,5,6	1.433
55,56,61,65	1,2,3,4,5,6	1.867
55,56,61,66	1,1,2,5,5,6	1.733
55,56,61,67	1,5,6	1.7
56,57,63,64	1,1,4,5,5,6	1.5
55,56,62,64	1,2,3,4,5,6	1.333
55,56,62,65	1,2,3,3,5,6	1.9
55,56,62,66	1,1,2,4,5,6	1.633
54,55,61,66	1,5,6	1.767
55,56,63,64	1,1,3,4,4,5	1.4
55,56,63,65	1,2,2,3,4,5	1.967
54,55,62,65	1,1,2,3,4,5	1.6
54,55,62,66	1,4,5	2.367
54,55,63,64	1,1,2,3,3,4	1.233
54,55,63,65	1,1,2,2,3,4	1.2
54,55,63,66	1,3,4	1.7
54,55,64,65	1,1,1,2,2,3	1.333
53,54,63,65	1,2,3	1.8
53,54,64,65	1,1,2	1.4
58,60,61,62	1,1,2,2,3,4	1.667
57,59,60,62	1,2,2,3,3,5	2
57,59,60,63	1,2,3,3,4,6	1.7
57,59,60,64	1,2,3,4,5,5	2.667
56,58,59,64	1,2,3,4,5,6	2.1
56,58,59,65	1,2,3,3,5,6	1.8
56,58,59,66	1,2,2,3,4,5	1.733
55,57,58,66	1,1,2,3,3,4	1.7
55,57,58,67	1,2,3	1.7
57,59,61,62	1,2,2,3,4,5	2.367
57,59,61,63	2,2,2,4,4,6	2.267
57,59,61,64	2,2,3,4,5,5	3.533
56,58,60,64	2,2,4,4,4,6	2.1
56,58,60,65	2,2,3,4,5,5	2.333
56,58,60,66	2,2,2,4,4,6	1.867
55,57,59,66	1,2,2,3,4,5	2.2
55,57,59,67	2,2,4	2.533
57,59,62,63	1,2,3,4,5,6	1.633
56,58,61,63	2,2,3,5,5,5	2.633
56,58,61,64	2,3,3,4,5,6	2.233
56,58,61,65	2,3,3,4,5,5	2.767
55,57,60,65	2,2,3,4,5,5	2.433
55,57,60,66	1,2,3,3,5,6	2.333
55,57,60,67	2,3,5	2.533
56,58,62,63	1,2,4,5,5,6	2.333
56,58,62,64	2,2,4,4,6,6	1.833
55,57,61,64	2,3,3,4,5,6	2.833
55,57,61,65	2,2,4,4,4,6	1.9
55,57,61,66	1,2,3,4,5,6	2.467
54,56,60,66	2,4,6	2.767
55,57,62,63	1,2,4,5,5,6	1.833
55,57,62,64	2,2,3,5,5,5	2.4
55,57,62,65	2,2,3,4,5,5	2.367
54,56,61,65	1,2,3,4,5,5	2.867
54,56,61,66	2,5,5	3.1
55,57,63,64	1,2,3,4,5,6	1.4
54,56,62,64	2,2,2,4,4,6	2.167
54,56,62,65	1,2,3,3,4,6	2.167
54,56,62,66	2,4,6	2.433
54,56,63,64	1,2,2,3,4,5	1.533
54,56,63,65	1,2,2,3,3,5	2.067
54,56,63,66	2,3,5	2.6
54,56,64,65	1,1,2,2,3,4	1.433
53,55,63,65	2,2,4	2.1
53,55,64,65	1,2,3	2.133
57,60,61,62	1,1,2,3,4,5	1.467
57,60,61,63	1,2,3,3,4,6	1.7
56,59,60,63	1,3,3,4,4,5	1.8
56,59,60,64	1,3,4,4,4,5	2.133
56,59,60,65	1,3,3,4,5,6	1.667
55,58,59,65	1,2,3,4,5,6	1.833
55,58,59,66	1,1,3,4,4,5	1.567
55,58,59,67	1,3,4	1.533
56,59,61,62	1,2,3,3,5,6	1.767
56,59,61,63	2,2,3,4,5,5	2.933
56,59,61,64	2,3,3,4,5,5	2.9
55,58,60,64	2,3,3,4,5,6	2.933
55,58,60,65	2,2,3,5,5,5	2.533
55,58,60,66	1,2,3,4,5,6	1.833
54,57,59,66	2,3,5	2.567
56,59,62,63	1,3,3,4,5,6	2.033
55,58,61,63	2,3,3,4,5,6	3
55,58,61,64	3,3,3,3,6,6	1.733
55,58,61,65	2,3,3,4,5,6	2.6
55,58,61,66	1,3,3,4,5,6	1.867
54,57,60,66	3,3,6	2.867
55,58,62,63	1,3,4,4,5,5	2.8
55,58,62,64	2,3,3,4,5,6	2.467
54,57,61,64	2,3,3,4,5,5	3.067
54,57,61,65	1,3,4,4,4,5	1.933
54,57,61,66	3,4,5	3.467
55,58,63,64	1,3,3,4,5,6	1.7
54,57,62,64	2,2,3,4,5,5	3.2
54,57,62,65	1,3,3,4,4,5	2.367
54,57,62,66	3,4,5	3.767
54,57,63,64	1,2,3,3,5,6	1.733
54,57,63,65	1,2,3,3,4,6	2.033
53,56,62,65	3,3,6	2.433
53,56,63,64	1,1,2,3,4,5	1.5
53,56,63,65	2,3,5	3.1
53,56,64,65	1,3,4	1.767
56,60,61,62	1,1,2,4,5,6	1.633
56,60,61,63	1,2,3,4,5,5	2.8
56,60,61,64	1,3,4,4,4,5	1.867
55,59,60,64	1,3,4,4,5,5	3
55,59,60,65	1,2,4,5,5,6	2
55,59,60,66	1,1,4,5,5,6	2.1
54,58,59,66	1,4,5	2.5
56,60,62,63	1,2,3,4,5,6	2.233
55,59,61,63	2,2,4,4,4,6	2.233
55,59,61,64	2,3,3,4,5,6	2.567
55,59,61,65	2,2,4,4,6,6	1.833
54,58,60,65	1,2,4,5,5,6	2.433
54,58,60,66	2,4,6	2.733
55,59,62,63	1,3,4,4,4,5	1.9
55,59,62,64	2,3,3,4,5,5	2.967
54,58,61,64	2,3,3,4,5,6	2.533
54,58,61,65	1,3,4,4,5,5	3.3
54,58,61,66	3,4,5	3.833
54,58,62,63	1,3,4,4,4,5	1.667
54,58,62,64	2,2,4,4,4,6	1.7
54,58,62,65	1,3,4,4,4,5	1.967
53,57,61,65	4,4,4	2.367
54,58,63,64	1,2,3,4,5,6	1.567
54,58,63,65	1,2,3,4,5,5	2.667
53,57,62,65	3,4,5	3.233
53,57,63,64	1,1,2,4,5,6	1.7
53,57,63,65	2,4,6	2.467
53,57,64,65	1,4,5	3.333
55,60,61,62	1,1,2,5,5,6	1.433
55,60,61,63	1,2,3,4,5,6	1.767
55,60,61,64	1,3,3,4,5,6	2.233
54,59,60,64	1,2,4,5,5,6	2.067
54,59,60,65	1,1,5,5,6,6	1.833
54,59,60,66	1,5,6	2.133
55,60,62,63	1,2,3,4,5,5	2.067
54,59,61,63	2,2,3,4,5,5	3.233
54,59,61,64	2,2,3,5,5,5	2.733
54,59,61,65	1,2,4,5,5,6	2.633
53,58,60,65	2,5,5	3.5
54,59,62,63	1,3,3,4,4,5	1.733
54,59,62,64	2,2,3,4,5,5	2.567
54,59,62,65	1,3,3,4,5,6	1.933
53,58,61,65	3,4,5	3.4
54,59,63,64	1,2,3,4,5,5	2.233
53,58,62,64	1,2,3,4,5,6	2.4
53,58,62,65	3,4,5	3.8
53,58,63,64	1,1,2,5,5,6	1.467
53,58,63,65	2,5,5	3.133
52,57,63,64	1,5,6	2.2
54,60,61,62	1,1,2,4,5,6	2.033
54,60,61,63	1,2,3,3,5,6	2.067
54,60,61,64	1,2,3,4,5,6	1.767
54,60,61,65	1,1,4,5,5,6	2.233
53,59,60,65	1,5,6	2.467
54,60,62,63	1,2,3,3,4,6	1.4
54,60,62,64	2,2,2,4,4,6	2.2
53,59,61,64	1,2,3,4,5,6	1.967
53,59,61,65	2,4,6	3.067
53,59,62,63	1,2,3,3,4,6	1.567
53,59,62,64	1,2,3,3,5,6	2.233
53,59,62,65	3,3,6	2.767
53,59,63,64	1,1,2,4,5,6	1.433
52,58,62,64	2,4,6	2
52,58,63,64	1,5,6	1.5
54,61,62,63	1,1,2,3,4,5	1.3
53,60,61,63	1,2,2,3,4,5	2.1
53,60,61,64	1,1,3,4,4,5	1.967
53,60,61,65	1,4,5	2.8
53,60,62,63	1,2,2,3,3,5	1.833
53,60,62,64	1,2,2,3,4,5	2.2
53,60,62,65	2,3,5	3.033
52,59,62,63	1,1,2,3,4,5	1.567
52,59,62,64	2,3,5	2.433
52,59,63,64	1,4,5	2.267
53,61,62,63	1,1,2,2,3,4	1.233
53,61,62,64	1,1,2,3,3,4	1.467
52,60,61,64	1,3,4	1.333
52,60,62,63	1,1,2,2,3,4	1.267
52,60,62,64	2,2,4	2.233
52,60,63,64	1,3,4	1.5
52,61,62,63	1,1,1,2,2,3	1.167
52,61,62,64	1,2,3	1.667
51,60,62,63	1,2,3	1.867
51,61,62,63	1,1,2	1.333
