	chord	version	CI Type	CI Value
0	I	thema	r_chromaticity	0
1	I6	thema	r_chromaticity	0
2	V6	thema	r_chromaticity	0
3	V43	thema	r_chromaticity	0
4	vi7	thema	r_chromaticity	0
5	V6	thema	r_chromaticity	0
6	I	thema	r_chromaticity	0
7	ii6	thema	r_chromaticity	0
8	V(64)	thema	r_chromaticity	0
9	V	thema	r_chromaticity	0
10	I	thema	r_chromaticity	0
11	I6	thema	r_chromaticity	0
12	V6	thema	r_chromaticity	0
13	V43	thema	r_chromaticity	0
14	vi7	thema	r_chromaticity	0
15	V6	thema	r_chromaticity	0
16	I	thema	r_chromaticity	0
17	ii6	thema	r_chromaticity	0
18	V(64)	thema	r_chromaticity	0
19	V7	thema	r_chromaticity	0
20	I	thema	r_chromaticity	0
21	V43	var5	r_chromaticity	0
22	I	var5	r_chromaticity	0
23	V6	var5	r_chromaticity	0
24	I	var5	r_chromaticity	0
25	#viio/ii	var5	r_chromaticity	2
26	V43	var5	r_chromaticity	0
27	V	var5	r_chromaticity	0
28	vi7	var5	r_chromaticity	0
29	V6	var5	r_chromaticity	0
30	I	var5	r_chromaticity	0
31	vi	var5	r_chromaticity	0
32	ii6	var5	r_chromaticity	0
33	V	var5	r_chromaticity	0
34	I	var5	r_chromaticity	0
35	I	var5	r_chromaticity	0
36	V	var5	r_chromaticity	0
37	V7	var5	r_chromaticity	0
38	vi7	var5	r_chromaticity	0
39	V6	var5	r_chromaticity	0
40	I	var5	r_chromaticity	0
41	ii65	var5	r_chromaticity	0
42	V(64)	var5	r_chromaticity	0
43	V7(4)	var5	r_chromaticity	0
44	V7	var5	r_chromaticity	0
45	I(974)	var5	r_chromaticity	0
46	I	var5	r_chromaticity	0
47	V43	var6	r_chromaticity	0
48	I6	var6	r_chromaticity	0
49	I	var6	r_chromaticity	0
50	V6	var6	r_chromaticity	0
51	I	var6	r_chromaticity	0
52	V43	var6	r_chromaticity	0
53	V2	var6	r_chromaticity	0
54	I6	var6	r_chromaticity	0
55	V6	var6	r_chromaticity	0
56	I	var6	r_chromaticity	0
57	ii6	var6	r_chromaticity	0
58	V(64)	var6	r_chromaticity	0
59	V	var6	r_chromaticity	0
60	I	var6	r_chromaticity	0
61	V	var6	r_chromaticity	0
62	V7	var6	r_chromaticity	0
63	vi	var6	r_chromaticity	0
64	viio	var6	r_chromaticity	0
65	I	var6	r_chromaticity	0
66	IV	var6	r_chromaticity	0
67	viio	var6	r_chromaticity	0
68	I	var6	r_chromaticity	0
69	vi	var6	r_chromaticity	0
70	ii6	var6	r_chromaticity	0
71	V	var6	r_chromaticity	0
72	I	var6	r_chromaticity	0
73	I	thema	ct_chromaticity	0
74	I6	thema	ct_chromaticity	0
75	V6	thema	ct_chromaticity	0
76	V43	thema	ct_chromaticity	0
77	vi7	thema	ct_chromaticity	0
78	V6	thema	ct_chromaticity	0
79	I	thema	ct_chromaticity	0
80	ii6	thema	ct_chromaticity	0
81	V(64)	thema	ct_chromaticity	0
82	V	thema	ct_chromaticity	0
83	I	thema	ct_chromaticity	0
84	I6	thema	ct_chromaticity	0
85	V6	thema	ct_chromaticity	0
86	V43	thema	ct_chromaticity	0
87	vi7	thema	ct_chromaticity	0
88	V6	thema	ct_chromaticity	0
89	I	thema	ct_chromaticity	0
90	ii6	thema	ct_chromaticity	0
91	V(64)	thema	ct_chromaticity	0
92	V7	thema	ct_chromaticity	0
93	I	thema	ct_chromaticity	0
94	V43	var5	ct_chromaticity	0
95	I	var5	ct_chromaticity	0
96	V6	var5	ct_chromaticity	0
97	I	var5	ct_chromaticity	0
98	#viio/ii	var5	ct_chromaticity	0
99	V43	var5	ct_chromaticity	0
100	V	var5	ct_chromaticity	0
101	vi7	var5	ct_chromaticity	0
102	V6	var5	ct_chromaticity	0
103	I	var5	ct_chromaticity	0
104	vi	var5	ct_chromaticity	0
105	ii6	var5	ct_chromaticity	0
106	V	var5	ct_chromaticity	0
107	I	var5	ct_chromaticity	0
108	I	var5	ct_chromaticity	0
109	V	var5	ct_chromaticity	0
110	V7	var5	ct_chromaticity	0
111	vi7	var5	ct_chromaticity	0
112	V6	var5	ct_chromaticity	0
113	I	var5	ct_chromaticity	0
114	ii65	var5	ct_chromaticity	0
115	V(64)	var5	ct_chromaticity	0
116	V7(4)	var5	ct_chromaticity	0
117	V7	var5	ct_chromaticity	0
118	I(974)	var5	ct_chromaticity	0
119	I	var5	ct_chromaticity	0
120	V43	var6	ct_chromaticity	0
121	I6	var6	ct_chromaticity	0
122	I	var6	ct_chromaticity	0
123	V6	var6	ct_chromaticity	0
124	I	var6	ct_chromaticity	0
125	V43	var6	ct_chromaticity	0
126	V2	var6	ct_chromaticity	0
127	I6	var6	ct_chromaticity	0
128	V6	var6	ct_chromaticity	0
129	I	var6	ct_chromaticity	0
130	ii6	var6	ct_chromaticity	0
131	V(64)	var6	ct_chromaticity	0
132	V	var6	ct_chromaticity	0
133	I	var6	ct_chromaticity	0
134	V	var6	ct_chromaticity	0
135	V7	var6	ct_chromaticity	0
136	vi	var6	ct_chromaticity	0
137	viio	var6	ct_chromaticity	0
138	I	var6	ct_chromaticity	0
139	IV	var6	ct_chromaticity	0
140	viio	var6	ct_chromaticity	0
141	I	var6	ct_chromaticity	0
142	vi	var6	ct_chromaticity	0
143	ii6	var6	ct_chromaticity	0
144	V	var6	ct_chromaticity	0
145	I	var6	ct_chromaticity	0
146	I	thema	nct_chromaticity	0
147	I6	thema	nct_chromaticity	0
148	V6	thema	nct_chromaticity	0
149	V43	thema	nct_chromaticity	0
150	vi7	thema	nct_chromaticity	0
151	V6	thema	nct_chromaticity	0
152	I	thema	nct_chromaticity	0
153	ii6	thema	nct_chromaticity	0
154	V(64)	thema	nct_chromaticity	0
155	V	thema	nct_chromaticity	0
156	I	thema	nct_chromaticity	0
157	I6	thema	nct_chromaticity	0
158	V6	thema	nct_chromaticity	0
159	V43	thema	nct_chromaticity	0
160	vi7	thema	nct_chromaticity	0
161	V6	thema	nct_chromaticity	0
162	I	thema	nct_chromaticity	0
163	ii6	thema	nct_chromaticity	0
164	V(64)	thema	nct_chromaticity	0
165	V7	thema	nct_chromaticity	0
166	I	thema	nct_chromaticity	0
167	V43	var5	nct_chromaticity	0
168	I	var5	nct_chromaticity	0
169	V6	var5	nct_chromaticity	1
170	I	var5	nct_chromaticity	0
171	#viio/ii	var5	nct_chromaticity	3
172	V43	var5	nct_chromaticity	1
173	V	var5	nct_chromaticity	0
174	vi7	var5	nct_chromaticity	1
175	V6	var5	nct_chromaticity	3
176	I	var5	nct_chromaticity	4
177	vi	var5	nct_chromaticity	4
178	ii6	var5	nct_chromaticity	0
179	V	var5	nct_chromaticity	8
180	I	var5	nct_chromaticity	7
181	I	var5	nct_chromaticity	0
182	V	var5	nct_chromaticity	4
183	V7	var5	nct_chromaticity	0
184	vi7	var5	nct_chromaticity	0
185	V6	var5	nct_chromaticity	2
186	I	var5	nct_chromaticity	4
187	ii65	var5	nct_chromaticity	0
188	V(64)	var5	nct_chromaticity	1
189	V7(4)	var5	nct_chromaticity	0
190	V7	var5	nct_chromaticity	0
191	I(974)	var5	nct_chromaticity	0
192	I	var5	nct_chromaticity	0
193	V43	var6	nct_chromaticity	0
194	I6	var6	nct_chromaticity	0
195	I	var6	nct_chromaticity	0
196	V6	var6	nct_chromaticity	2
197	I	var6	nct_chromaticity	0
198	V43	var6	nct_chromaticity	0
199	V2	var6	nct_chromaticity	0
200	I6	var6	nct_chromaticity	2
201	V6	var6	nct_chromaticity	4
202	I	var6	nct_chromaticity	0
203	ii6	var6	nct_chromaticity	0
204	V(64)	var6	nct_chromaticity	0
205	V	var6	nct_chromaticity	0
206	I	var6	nct_chromaticity	0
207	V	var6	nct_chromaticity	0
208	V7	var6	nct_chromaticity	0
209	vi	var6	nct_chromaticity	0
210	viio	var6	nct_chromaticity	0
211	I	var6	nct_chromaticity	0
212	IV	var6	nct_chromaticity	0
213	viio	var6	nct_chromaticity	0
214	I	var6	nct_chromaticity	0
215	vi	var6	nct_chromaticity	0
216	ii6	var6	nct_chromaticity	0
217	V	var6	nct_chromaticity	0
218	I	var6	nct_chromaticity	0
